round_epochs,loss,acc,val_loss,val_acc,activation,batch_size,dropout,emb_output_dims,epochs,last_activation,losses,lr,neurons,optimizer,shape,weight_regulizer
100,0.518007218837738,0.7291666865348816,0.534611165523529,0.6843702793121338,<function tanh at 0x7f0a1a5a0170>,32,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,15,<class 'keras.optimizer_v2.gradient_descent.SGD'>,brick,None
100,0.6511113047599792,0.5852864384651184,0.6447001099586487,0.6084977388381958,<function tanh at 0x7f0a1a5a0170>,32,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,15,<class 'keras.optimizer_v2.gradient_descent.SGD'>,long_funnel,None
100,0.4083594083786011,0.7923176884651184,0.4081661105155945,0.7860394716262817,<function tanh at 0x7f0a1a5a0170>,32,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,15,<class 'keras.optimizer_v2.adam.Adam'>,brick,None
100,0.4216936528682709,0.7747395634651184,0.4476739168167114,0.7556904554367065,<function tanh at 0x7f0a1a5a0170>,32,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,15,<class 'keras.optimizer_v2.adam.Adam'>,long_funnel,None
100,0.423208624124527,0.7890625,0.43317511677742004,0.7572078704833984,<function tanh at 0x7f0a1a5a0170>,32,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,15,<class 'keras.optimizer_v2.rmsprop.RMSprop'>,brick,None
100,0.4218079745769501,0.7845051884651184,0.44626349210739136,0.752655565738678,<function tanh at 0x7f0a1a5a0170>,32,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,15,<class 'keras.optimizer_v2.rmsprop.RMSprop'>,long_funnel,None
100,0.6796572208404541,0.5852864384651184,0.6741459965705872,0.6084977388381958,<function tanh at 0x7f0a1a5a0170>,32,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.001,5,<class 'keras.optimizer_v2.gradient_descent.SGD'>,brick,None
100,0.6799162030220032,0.5852864384651184,0.6742664575576782,0.6084977388381958,<function tanh at 0x7f0a1a5a0170>,32,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.001,5,<class 'keras.optimizer_v2.gradient_descent.SGD'>,long_funnel,None
100,0.4508035480976105,0.7662760615348816,0.4513894021511078,0.7602428197860718,<function tanh at 0x7f0a1a5a0170>,32,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.001,5,<class 'keras.optimizer_v2.adam.Adam'>,brick,None
100,0.45586004853248596,0.751953125,0.4680542051792145,0.7207890748977661,<function tanh at 0x7f0a1a5a0170>,32,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.001,5,<class 'keras.optimizer_v2.adam.Adam'>,long_funnel,None
100,0.46096304059028625,0.7486979365348816,0.4694475829601288,0.7481032013893127,<function tanh at 0x7f0a1a5a0170>,32,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.001,5,<class 'keras.optimizer_v2.rmsprop.RMSprop'>,brick,None
100,0.4532865583896637,0.771484375,0.45032748579978943,0.7708649635314941,<function tanh at 0x7f0a1a5a0170>,32,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.001,5,<class 'keras.optimizer_v2.rmsprop.RMSprop'>,long_funnel,None
100,0.6789259910583496,0.5852864384651184,0.6734546422958374,0.6084977388381958,<function tanh at 0x7f0a1a5a0170>,32,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.001,15,<class 'keras.optimizer_v2.gradient_descent.SGD'>,brick,None
100,0.6809012293815613,0.5852864384651184,0.6747933626174927,0.6084977388381958,<function tanh at 0x7f0a1a5a0170>,32,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.001,15,<class 'keras.optimizer_v2.gradient_descent.SGD'>,long_funnel,None
